object_index	radial_sample_count	normal_x	normal_y	normal_z	distance
0	128	0.000000000	1.000000000	0.000000000	0.000000000
1	128	0.000000000	1.000000000	0.000000000	0.000000000
2	128	0.000000000	1.000000000	0.000000000	0.000000000
3	128	0.000000000	1.000000000	0.000000000	0.000000000
4	128	0.000000000	1.000000000	0.000000000	0.000000000
5	128	0.000000000	1.000000000	0.000000000	0.000000000
6	128	0.000000000	1.000000000	0.000000000	0.000000000
7	128	0.000000000	1.000000000	0.000000000	0.000000000
8	128	0.000000000	1.000000000	0.000000000	0.000000000
9	128	0.000000000	1.000000000	0.000000000	0.000000000
10	128	0.000000000	1.000000000	0.000000000	0.000000000
11	128	0.000000000	1.000000000	0.000000000	0.000000000
12	128	0.000000000	1.000000000	0.000000000	0.000000000
13	128	0.000000000	1.000000000	0.000000000	0.000000000
14	128	0.000000000	1.000000000	0.000000000	0.000000000
15	128	0.000000000	1.000000000	0.000000000	0.000000000
0	128	0.000000000	1.000000000	0.000000000	0.000000000
1	128	0.000000000	1.000000000	0.000000000	0.000000000
2	128	0.000000000	1.000000000	0.000000000	0.000000000
3	128	0.000000000	1.000000000	0.000000000	0.000000000
4	128	0.000000000	1.000000000	0.000000000	0.000000000
5	128	0.000000000	1.000000000	0.000000000	0.000000000
6	128	0.000000000	1.000000000	0.000000000	0.000000000
7	128	0.000000000	1.000000000	0.000000000	0.000000000
8	128	0.000000000	1.000000000	0.000000000	0.000000000
9	128	0.000000000	1.000000000	0.000000000	0.000000000
10	128	0.000000000	1.000000000	0.000000000	0.000000000
11	128	0.000000000	1.000000000	0.000000000	0.000000000
12	128	0.000000000	1.000000000	0.000000000	0.000000000
13	128	0.000000000	1.000000000	0.000000000	0.000000000
14	128	0.000000000	1.000000000	0.000000000	0.000000000
15	128	0.000000000	1.000000000	0.000000000	0.000000000
0	128	0.000361363	0.999879546	0.015516561	0.000000000
1	128	0.000361363	0.999879546	0.015516561	0.000000000
2	128	0.000361363	0.999879546	0.015516561	0.000000000
3	128	0.000361363	0.999879546	0.015516561	0.000000000
4	128	0.000361363	0.999879546	0.015516561	0.000000000
5	128	0.000361363	0.999879546	0.015516561	0.000000000
6	128	0.000361363	0.999879546	0.015516561	0.000000000
7	128	0.000361363	0.999879546	0.015516561	0.000000000
8	128	0.000361363	0.999879546	0.015516561	0.000000000
9	128	0.000361363	0.999879546	0.015516561	0.000000000
10	128	0.000361363	0.999879546	0.015516561	0.000000000
11	128	0.000361363	0.999879546	0.015516561	0.000000000
12	128	0.000361363	0.999879546	0.015516561	0.000000000
13	128	0.000361363	0.999879546	0.015516561	0.000000000
14	128	0.000361363	0.999879546	0.015516561	0.000000000
15	128	0.000361363	0.999879546	0.015516561	0.000000000
0	128	0.001444582	0.999518473	0.030995741	0.000000000
1	128	0.001444582	0.999518473	0.030995741	0.000000000
2	128	0.001444582	0.999518473	0.030995741	0.000000000
3	128	0.001444582	0.999518473	0.030995741	0.000000000
4	128	0.001444582	0.999518473	0.030995741	0.000000000
5	128	0.001444582	0.999518473	0.030995741	0.000000000
6	128	0.001444582	0.999518473	0.030995741	0.000000000
7	128	0.001444582	0.999518473	0.030995741	0.000000000
8	128	0.001444582	0.999518473	0.030995741	0.000000000
9	128	0.001444582	0.999518473	0.030995741	0.000000000
10	128	0.001444582	0.999518473	0.030995741	0.000000000
11	128	0.001444582	0.999518473	0.030995741	0.000000000
12	128	0.001444582	0.999518473	0.030995741	0.000000000
13	128	0.001444582	0.999518473	0.030995741	0.000000000
14	128	0.001444582	0.999518473	0.030995741	0.000000000
15	128	0.001444582	0.999518473	0.030995741	0.000000000
0	128	0.003247047	0.998917651	0.046400250	0.000000000
1	128	0.003247047	0.998917651	0.046400250	0.000000000
2	128	0.003247047	0.998917651	0.046400250	0.000000000
3	128	0.003247047	0.998917651	0.046400250	0.000000000
4	128	0.003247047	0.998917651	0.046400250	0.000000000
5	128	0.003247047	0.998917651	0.046400250	0.000000000
6	128	0.003247047	0.998917651	0.046400250	0.000000000
7	128	0.003247047	0.998917651	0.046400250	0.000000000
8	128	0.003247047	0.998917651	0.046400250	0.000000000
